Hechos Intradía,,,,,,
,,,,,,
"Razón Social: TV AZTECA, S.A.B. DE C.V.",,,,,,
Ticker: AZTECA,,,,,,
Serie: CPO,,,,,,
Fecha Inicial: 6/30/2014,,,,,,
Fecha Final: 7/5/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
6/30/2014,2:30:00 PM,MERRILL LYNCH,VECTOR CASA DE BOLSA,400,7.33,2932
6/30/2014,2:31:00 PM,MERRILL LYNCH,VECTOR CASA DE BOLSA,600,7.33,4398
6/30/2014,2:31:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.33,733
6/30/2014,2:31:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.33,733
6/30/2014,2:31:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.33,1466
6/30/2014,2:31:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.33,1466
6/30/2014,2:31:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.33,2199
6/30/2014,2:31:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.33,2199
6/30/2014,2:31:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.33,733
6/30/2014,2:31:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.33,2932
6/30/2014,2:31:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.33,733
6/30/2014,2:31:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.33,1466
6/30/2014,2:32:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,900,7.35,6615
6/30/2014,2:32:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,400,7.35,2940
6/30/2014,2:32:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,400,7.35,2940
6/30/2014,2:33:00 PM,GRUPO BURSATIL MEXICANO,ACTINVER CASA DE BOLSA,100,7.35,735
6/30/2014,2:33:00 PM,ACTINVER CASA DE BOLSA,ACTINVER CASA DE BOLSA,3200,7.35,23520
6/30/2014,2:33:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.35,735
6/30/2014,2:33:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.35,735
6/30/2014,2:33:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.35,2205
6/30/2014,2:33:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.35,2205
6/30/2014,2:33:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,400,7.36,2944
6/30/2014,2:33:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,400,7.36,2944
6/30/2014,2:34:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,400,7.36,2944
6/30/2014,2:34:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,400,7.36,2944
6/30/2014,2:34:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,10000,7.36,73600
6/30/2014,2:35:00 PM,MORGAN STANLEY MEXICO CAS,ACTINVER CASA DE BOLSA,100,7.36,736
6/30/2014,2:36:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,1100,7.36,8096
6/30/2014,2:36:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,900,7.36,6624
6/30/2014,2:36:00 PM,MORGAN STANLEY MEXICO CAS,ACTINVER CASA DE BOLSA,100,7.36,736
6/30/2014,2:37:00 PM,ACTINVER CASA DE BOLSA,GRUPO BURSATIL MEXICANO,1400,7.35,10290
6/30/2014,2:37:00 PM,GRUPO BURSATIL MEXICANO,GRUPO BURSATIL MEXICANO,122,7.35,896.7
6/30/2014,2:37:00 PM,MORGAN STANLEY MEXICO CAS,GRUPO BURSATIL MEXICANO,100,7.35,735
6/30/2014,2:37:00 PM,MORGAN STANLEY MEXICO CAS,GRUPO BURSATIL MEXICANO,200,7.35,1470
6/30/2014,2:37:00 PM,MERRILL LYNCH,GRUPO BURSATIL MEXICANO,400,7.35,2940
6/30/2014,2:37:00 PM,MERRILL LYNCH,GRUPO BURSATIL MEXICANO,684,7.35,5027.4
