Hechos Intradía,,,,,,
,,,,,,
"Razón Social: TV AZTECA, S.A.B. DE C.V.",,,,,,
Ticker: AZTECA,,,,,,
Serie: CPO,,,,,,
Fecha Inicial: 6/30/2014,,,,,,
Fecha Final: 7/5/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
1/7/2014,2:59:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,900,7.34,6606
1/7/2014,2:59:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:59:00 PM,MORGAN STANLEY MEXICO CAS,VECTOR CASA DE BOLSA,2300,7.35,16905
2/7/2014,8:34:00 AM,MORGAN STANLEY MEXICO CAS,SCOTIA CASA DE BOLSA,100,7.27,727
2/7/2014,8:35:00 AM,INTERACCIONES CASA DE BOL,INTERACCIONES CASA DE BOL,420000,7.3,3066000
2/7/2014,8:56:00 AM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,200,7.32,1464
2/7/2014,9:00:00 AM,UBS CASA DE BOLSA S.A.,DEUTSCHE SECURITIES,1732,7.34,12712.88
2/7/2014,9:04:00 AM,VALORES FINAMEX,DEUTSCHE SECURITIES,14968,7.34,109865.12
2/7/2014,9:04:00 AM,VALORES FINAMEX,DEUTSCHE SECURITIES,16100,7.34,118174
2/7/2014,9:05:00 AM,VALORES FINAMEX,VECTOR CASA DE BOLSA,21383,7.35,157165.05
2/7/2014,9:05:00 AM,VALORES FINAMEX,GRUPO BURSATIL MEXICANO,400,7.35,2940
2/7/2014,9:09:00 AM,VALORES FINAMEX,SCOTIA CASA DE BOLSA,900,7.35,6615
2/7/2014,9:10:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1732,7.36,12747.52
2/7/2014,9:11:00 AM,INTERACCIONES CASA DE BOL,ACTINVER CASA DE BOLSA,2104,7.36,15485.44
2/7/2014,9:22:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1000,7.38,7380
2/7/2014,9:30:00 AM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,400,7.4,2960
2/7/2014,9:30:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,1332,7.4,9856.8
2/7/2014,9:30:00 AM,GRUPO BURSATIL MEXICANO,INTERACCIONES CASA DE BOL,133,7.4,984.2
2/7/2014,9:40:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,1732,7.4,12816.8
2/7/2014,9:50:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,1732,7.4,12816.8
2/7/2014,9:58:00 AM,UBS CASA DE BOLSA S.A.,C.B. VE POR MAS,400,7.39,2956
2/7/2014,9:58:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,1132,7.4,8376.8
2/7/2014,9:58:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,732,7.4,5416.8
2/7/2014,10:00:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,1732,7.4,12816.8
2/7/2014,10:10:00 AM,UBS CASA DE BOLSA S.A.,UBS CASA DE BOLSA S.A.,653,7.39,4825.67
2/7/2014,10:10:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,1079,7.4,7984.6
2/7/2014,10:19:00 AM,VALORES FINAMEX,DEUTSCHE SECURITIES,16700,7.39,123413
2/7/2014,10:19:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,30396,7.4,224930.4
2/7/2014,10:19:00 AM,VALORES FINAMEX,GRUPO BURSATIL MEXICANO,6900,7.4,51060
2/7/2014,10:19:00 AM,VALORES FINAMEX,IXE CASA DE BOLSA,100,7.4,740
2/7/2014,10:19:00 AM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,700,7.4,5180
2/7/2014,10:19:00 AM,VALORES FINAMEX,UBS CASA DE BOLSA S.A.,327,7.4,2419.8
2/7/2014,10:20:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1732,7.41,12834.12
2/7/2014,10:30:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1732,7.41,12834.12
2/7/2014,10:40:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1732,7.41,12834.12
2/7/2014,10:50:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1732,7.41,12834.12
2/7/2014,11:00:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1732,7.41,12834.12
2/7/2014,11:01:00 AM,INTERACCIONES CASA DE BOL,ACTINVER CASA DE BOLSA,1340,7.41,9929.4
2/7/2014,11:01:00 AM,INTERACCIONES CASA DE BOL,IXE CASA DE BOLSA,100,7.41,741
2/7/2014,11:01:00 AM,INTERACCIONES CASA DE BOL,CITIBANK,1356,7.41,10047.96
2/7/2014,11:10:00 AM,UBS CASA DE BOLSA S.A.,CITIBANK,1732,7.41,12834.12
2/7/2014,11:16:00 AM,CI CASA DE BOLSA,CITIBANK,1912,7.41,14167.92
2/7/2014,11:16:00 AM,CI CASA DE BOLSA,INTERACCIONES CASA DE BOL,40000,7.42,296800
2/7/2014,11:16:00 AM,CI CASA DE BOLSA,ACTINVER CASA DE BOLSA,1079,7.42,8006.18
2/7/2014,11:16:00 AM,CI CASA DE BOLSA,CITIBANK,5000,7.42,37100
2/7/2014,11:20:00 AM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,800,7.44,5952
2/7/2014,11:30:00 AM,UBS CASA DE BOLSA S.A.,VECTOR CASA DE BOLSA,1732,7.45,12903.4
2/7/2014,11:30:00 AM,CI CASA DE BOLSA,VECTOR CASA DE BOLSA,18263,7.45,136059.35
2/7/2014,11:30:00 AM,CI CASA DE BOLSA,VECTOR CASA DE BOLSA,9737,7.45,72540.65
2/7/2014,11:30:00 AM,UBS CASA DE BOLSA S.A.,SCOTIA CASA DE BOLSA,330,7.44,2455.2
2/7/2014,11:31:00 AM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,562,7.44,4181.28
2/7/2014,11:31:00 AM,GRUPO BURSATIL MEXICANO,GRUPO BURSATIL MEXICANO,500,7.44,3720
2/7/2014,11:31:00 AM,DEUTSCHE SECURITIES,GRUPO BURSATIL MEXICANO,938,7.44,6978.72
2/7/2014,11:37:00 AM,CI CASA DE BOLSA,VECTOR CASA DE BOLSA,400,7.44,2976
2/7/2014,11:39:00 AM,CI CASA DE BOLSA,VECTOR CASA DE BOLSA,5263,7.45,39209.35
2/7/2014,11:39:00 AM,CI CASA DE BOLSA,GRUPO BURSATIL MEXICANO,1000,7.45,7450
2/7/2014,11:40:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1500,7.46,11190
2/7/2014,11:40:00 AM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,232,7.46,1730.72
2/7/2014,11:46:00 AM,ACTINVER CASA DE BOLSA,GRUPO BURSATIL MEXICANO,768,7.46,5729.28
2/7/2014,11:46:00 AM,ACTINVER CASA DE BOLSA,ACTINVER CASA DE BOLSA,632,7.46,4714.72
2/7/2014,11:50:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,868,7.46,6475.28
2/7/2014,11:50:00 AM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,864,7.46,6445.44
2/7/2014,11:57:00 AM,CI CASA DE BOLSA,CITIBANK,11746,7.45,87507.7
2/7/2014,11:57:00 AM,DEUTSCHE SECURITIES,CITIBANK,15254,7.45,113642.3
2/7/2014,12:00:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1500,7.46,11190
2/7/2014,12:00:00 PM,UBS CASA DE BOLSA S.A.,CI CASA DE BOLSA,232,7.46,1730.72
2/7/2014,12:04:00 PM,CI CASA DE BOLSA,INTERACCIONES CASA DE BOL,3500,7.44,26040
2/7/2014,12:04:00 PM,DEUTSCHE SECURITIES,INTERACCIONES CASA DE BOL,6500,7.44,48360
2/7/2014,12:10:00 PM,UBS CASA DE BOLSA S.A.,CI CASA DE BOLSA,400,7.46,2984
2/7/2014,12:10:00 PM,UBS CASA DE BOLSA S.A.,VECTOR CASA DE BOLSA,1332,7.46,9936.72
2/7/2014,12:20:00 PM,UBS CASA DE BOLSA S.A.,VECTOR CASA DE BOLSA,1692,7.46,12622.32
2/7/2014,12:30:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1000,7.45,7450
2/7/2014,12:30:00 PM,UBS CASA DE BOLSA S.A.,VECTOR CASA DE BOLSA,652,7.46,4863.92
2/7/2014,12:40:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1722,7.45,12828.9
2/7/2014,12:50:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1732,7.45,12903.4
2/7/2014,1:00:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1732,7.45,12903.4
2/7/2014,1:03:00 PM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,23814,7.45,177414.3
2/7/2014,1:03:00 PM,VALORES FINAMEX,IXE CASA DE BOLSA,100,7.45,745
2/7/2014,1:03:00 PM,CI CASA DE BOLSA,VECTOR CASA DE BOLSA,405,7.46,3021.3
2/7/2014,1:03:00 PM,CI CASA DE BOLSA,ACTINVER CASA DE BOLSA,3000,7.46,22380
2/7/2014,1:03:00 PM,CI CASA DE BOLSA,ACTINVER CASA DE BOLSA,6800,7.46,50728
2/7/2014,1:03:00 PM,CI CASA DE BOLSA,ACTINVER CASA DE BOLSA,10000,7.46,74600
2/7/2014,1:03:00 PM,CI CASA DE BOLSA,ACTINVER CASA DE BOLSA,2000,7.46,14920
2/7/2014,1:03:00 PM,CI CASA DE BOLSA,ACTINVER CASA DE BOLSA,10000,7.46,74600
2/7/2014,1:09:00 PM,CI CASA DE BOLSA,ACTINVER CASA DE BOLSA,3239,7.46,24162.94
2/7/2014,1:09:00 PM,CI CASA DE BOLSA,ACTINVER CASA DE BOLSA,961,7.46,7169.06
2/7/2014,1:10:00 PM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,150,7.47,1120.5
2/7/2014,1:10:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1572,7.47,11742.84
2/7/2014,1:13:00 PM,CI CASA DE BOLSA,IXE CASA DE BOLSA,100,7.46,746
2/7/2014,1:20:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1732,7.47,12938.04
2/7/2014,1:21:00 PM,CI CASA DE BOLSA,ACTINVER CASA DE BOLSA,1350,7.46,10071
2/7/2014,1:25:00 PM,CI CASA DE BOLSA,PUNTO CASA DE BOLSA,1849,7.46,13793.54
2/7/2014,1:25:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,4400,7.46,32824
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,CI CASA DE BOLSA,PUNTO CASA DE BOLSA,3299,7.46,24610.54
2/7/2014,1:25:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,4400,7.46,32824
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,CI CASA DE BOLSA,PUNTO CASA DE BOLSA,3299,7.46,24610.54
2/7/2014,1:25:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,4200,7.46,31332
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,CI CASA DE BOLSA,PUNTO CASA DE BOLSA,3299,7.46,24610.54
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,5254,7.46,39194.84
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,44746,7.46,333805.16
2/7/2014,1:25:00 PM,CI CASA DE BOLSA,PUNTO CASA DE BOLSA,3299,7.46,24610.54
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,41955,7.46,312984.3
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,8045,7.46,60015.7
2/7/2014,1:25:00 PM,CI CASA DE BOLSA,PUNTO CASA DE BOLSA,3299,7.46,24610.54
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,CI CASA DE BOLSA,PUNTO CASA DE BOLSA,3299,7.46,24610.54
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,15357,7.46,114563.22
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,34643,7.46,258436.78
2/7/2014,1:25:00 PM,CI CASA DE BOLSA,PUNTO CASA DE BOLSA,3299,7.46,24610.54
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,CI CASA DE BOLSA,PUNTO CASA DE BOLSA,2963,7.46,22103.98
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,29095,7.46,217048.7
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,20000,7.46,149200
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,40000,7.46,298400
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,30000,7.46,223800
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,50000,7.46,373000
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,90000,7.46,671400
2/7/2014,1:25:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,40000,7.46,298400
2/7/2014,1:26:00 PM,INTERACCIONES CASA DE BOL,CITIBANK,905,7.46,6751.3
2/7/2014,1:26:00 PM,VALORES FINAMEX,CITIBANK,30000,7.45,223500
2/7/2014,1:26:00 PM,VALORES FINAMEX,CITIBANK,900,7.45,6705
2/7/2014,1:26:00 PM,DEUTSCHE SECURITIES,CITIBANK,16900,7.45,125905
2/7/2014,1:26:00 PM,VALORES FINAMEX,CITIBANK,1295,7.45,9647.75
2/7/2014,1:26:00 PM,VALORES FINAMEX,CITIBANK,21122,7.45,157358.9
2/7/2014,1:28:00 PM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,5000,7.45,37250
2/7/2014,1:30:00 PM,UBS CASA DE BOLSA S.A.,CITIBANK,1732,7.46,12920.72
2/7/2014,1:30:00 PM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,1500,7.45,11175
2/7/2014,1:40:00 PM,UBS CASA DE BOLSA S.A.,CITIBANK,1732,7.46,12920.72
2/7/2014,1:41:00 PM,C.B. VE POR MAS,CITIBANK,1714,7.46,12786.44
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,1149,7.46,8571.54
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,2383,7.46,17777.18
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,1327,7.46,9899.42
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,1076,7.46,8026.96
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,798,7.46,5953.08
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,3623,7.46,27027.58
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,1209,7.46,9019.14
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,1551,7.46,11570.46
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,2904,7.46,21663.84
2/7/2014,1:42:00 PM,CITIBANK,CITIBANK,669,7.46,4990.74
2/7/2014,1:43:00 PM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,1696,7.45,12635.2
2/7/2014,1:45:00 PM,INTERACCIONES CASA DE BOL,ACTINVER CASA DE BOLSA,2000,7.46,14920
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,DEUTSCHE SECURITIES,PUNTO CASA DE BOLSA,15200,7.46,113392
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,179800,7.46,1341308
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,60000,7.46,447600
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,45000,7.46,335700
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,105000,7.46,783300
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,30000,7.46,223800
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,60000,7.46,447600
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,45000,7.46,335700
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,75000,7.46,559500
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,135000,7.46,1007100
2/7/2014,1:46:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,10000,7.46,74600
2/7/2014,1:49:00 PM,INTERACCIONES CASA DE BOL,ACTINVER CASA DE BOLSA,5200,7.46,38792
2/7/2014,1:49:00 PM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,3000,7.46,22380
2/7/2014,1:50:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,800,7.47,5976
2/7/2014,1:50:00 PM,UBS CASA DE BOLSA S.A.,IXE CASA DE BOLSA,100,7.47,747
2/7/2014,1:50:00 PM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,166,7.48,1241.68
2/7/2014,1:50:00 PM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,516,7.48,3859.68
2/7/2014,1:50:00 PM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,2300,7.46,17158
2/7/2014,2:00:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,500,7.46,3730
2/7/2014,2:00:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1232,7.46,9190.72
2/7/2014,2:03:00 PM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,655,7.45,4879.75
2/7/2014,2:04:00 PM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,30000,7.45,223500
2/7/2014,2:06:00 PM,VALORES FINAMEX,ACTINVER CASA DE BOLSA,13113,7.45,97691.85
2/7/2014,2:10:00 PM,UBS CASA DE BOLSA S.A.,CI CASA DE BOLSA,1732,7.46,12920.72
2/7/2014,2:11:00 PM,CITIBANK,CI CASA DE BOLSA,1296,7.46,9668.16
2/7/2014,2:11:00 PM,CITIBANK,CI CASA DE BOLSA,1263,7.46,9421.98
2/7/2014,2:11:00 PM,CITIBANK,CI CASA DE BOLSA,1192,7.46,8892.32
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,16887,7.45,125808.15
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,4400,7.45,32780
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,25000,7.45,186250
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,30000,7.45,223500
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,3600,7.45,26820
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,10113,7.45,75341.85
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,14887,7.45,110908.15
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,30000,7.45,223500
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,113,7.45,841.85
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,24887,7.45,185408.15
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,15113,7.45,112591.85
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,14887,7.45,110908.15
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,25000,7.45,186250
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,20113,7.45,149841.85
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,9887,7.45,73658.15
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,25000,7.45,186250
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,113,7.45,841.85
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,29887,7.45,222658.15
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,15113,7.45,112591.85
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,9887,7.45,73658.15
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,30000,7.45,223500
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,113,7.45,841.85
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,24887,7.45,185408.15
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,25113,7.45,187091.85
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,4887,7.45,36408.15
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,20113,7.45,149841.85
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,4887,7.45,36408.15
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,30000,7.45,223500
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,25000,7.45,186250
2/7/2014,2:12:00 PM,VALORES FINAMEX,PUNTO CASA DE BOLSA,5867,7.45,43709.15
2/7/2014,2:12:00 PM,INTERACCIONES CASA DE BOL,PUNTO CASA DE BOLSA,4246,7.45,31632.7
2/7/2014,2:20:00 PM,UBS CASA DE BOLSA S.A.,CI CASA DE BOLSA,1732,7.46,12920.72
2/7/2014,2:30:00 PM,UBS CASA DE BOLSA S.A.,CI CASA DE BOLSA,1732,7.46,12920.72
2/7/2014,2:38:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),400,7.45,2980
2/7/2014,2:38:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),400,7.45,2980
2/7/2014,2:38:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),400,7.45,2980
2/7/2014,2:39:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),500,7.45,3725
2/7/2014,2:39:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),400,7.45,2980
2/7/2014,2:39:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),400,7.45,2980
2/7/2014,2:39:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),800,7.45,5960
2/7/2014,2:40:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),700,7.45,5215
2/7/2014,2:40:00 PM,UBS CASA DE BOLSA S.A.,CI CASA DE BOLSA,1732,7.46,12920.72
2/7/2014,2:40:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),600,7.45,4470
2/7/2014,2:40:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),500,7.45,3725
2/7/2014,2:40:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),600,7.45,4470
2/7/2014,2:41:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),500,7.45,3725
2/7/2014,2:41:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),600,7.45,4470
2/7/2014,2:41:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),1000,7.45,7450
2/7/2014,2:42:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),1100,7.45,8195
2/7/2014,2:42:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),1000,7.45,7450
2/7/2014,2:43:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),1100,7.45,8195
2/7/2014,2:43:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),1100,7.45,8195
2/7/2014,2:44:00 PM,INTERACCIONES CASA DE BOL,CB CREDIT SUISSE (MEXICO),1200,7.45,8940
